,Unnamed: 0,size,status,setup_time,solve_time,run_time,obj
0,lcvx_N_15_i_0,704,optimal,0.0,0.0031457950826734,0.0031457950826734,-3.3410601479675863
1,lcvx_N_15_i_1,704,optimal,0.0,0.0032400579657405,0.0032400579657405,-3.3410610262187834
2,lcvx_N_15_i_2,704,optimal,0.0,0.0032198580447584,0.0032198580447584,-3.3410554683956133
3,lcvx_N_15_i_3,704,optimal,0.0,0.0025658148806542,0.0025658148806542,-3.341057956247069
4,lcvx_N_15_i_4,704,optimal,0.0,0.0031609160359948,0.0031609160359948,-3.341057223273938
5,lcvx_N_15_i_5,704,optimal,0.0,0.0031814898829907,0.0031814898829907,-3.341058269084624
6,lcvx_N_15_i_6,704,optimal,0.0,0.0025937939062714,0.0025937939062714,-3.341060369031624
7,lcvx_N_15_i_7,704,optimal,0.0,0.0032181539572775,0.0032181539572775,-3.3410577912924406
8,lcvx_N_15_i_8,704,optimal,0.0,0.0031838938593864,0.0031838938593864,-3.341060245301261
9,lcvx_N_15_i_9,704,optimal,0.0,0.0032377981115132,0.0032377981115132,-3.3410592853514487
10,lcvx_N_15_i_10,704,optimal,0.0,0.0035038159694522,0.0035038159694522,-3.3410579182097946
11,lcvx_N_15_i_11,704,optimal,0.0,0.0033848378807306,0.0033848378807306,-3.341062203670473
12,lcvx_N_15_i_12,704,optimal,0.0,0.0035840601194649,0.0035840601194649,-3.341058060685101
13,lcvx_N_15_i_13,704,optimal,0.0,0.0034293639473617,0.0034293639473617,-3.3410619493452858
14,lcvx_N_15_i_14,704,optimal,0.0,0.002825325820595,0.002825325820595,-3.3410576256478834
15,lcvx_N_15_i_15,704,optimal,0.0,0.0027276859618723,0.0027276859618723,-3.3410547577508147
16,lcvx_N_15_i_16,704,optimal,0.0,0.0033213028218597,0.0033213028218597,-3.3410620074031776
17,lcvx_N_15_i_17,704,optimal,0.0,0.0035711450036615,0.0035711450036615,-3.341059290334793
18,lcvx_N_15_i_18,704,optimal,0.0,0.0027817480731755,0.0027817480731755,-3.3410599008921844
19,lcvx_N_15_i_19,704,optimal,0.0,0.0033790168818086,0.0033790168818086,-3.341057826100746
20,lcvx_N_50_i_0,2314,optimal,0.0,0.0121979801915586,0.0121979801915586,-3.3512650274903915
21,lcvx_N_50_i_1,2314,optimal,0.0,0.0128739299252629,0.0128739299252629,-3.3512616701912243
22,lcvx_N_50_i_2,2314,optimal,0.0,0.0126504481304436,0.0126504481304436,-3.351262417836943
23,lcvx_N_50_i_3,2314,optimal,0.0,0.0137630649842321,0.0137630649842321,-3.351261331830515
24,lcvx_N_50_i_4,2314,optimal,0.0,0.0139590208418667,0.0139590208418667,-3.3512644592660066
25,lcvx_N_50_i_5,2314,optimal,0.0,0.0139871779829263,0.0139871779829263,-3.351266031914755
26,lcvx_N_50_i_6,2314,optimal,0.0,0.0133780299220234,0.0133780299220234,-3.3512616810846527
27,lcvx_N_50_i_7,2314,optimal,0.0,0.0123083051294088,0.0123083051294088,-3.3512649371464494
28,lcvx_N_50_i_8,2314,optimal,0.0,0.012073511024937,0.012073511024937,-3.3512560773716595
29,lcvx_N_50_i_9,2314,optimal,0.0,0.0119622701313346,0.0119622701313346,-3.3512584199511664
30,lcvx_N_50_i_10,2314,optimal,0.0,0.0122216818854212,0.0122216818854212,-3.3512556435579515
31,lcvx_N_50_i_11,2314,optimal,0.0,0.0120556440670043,0.0120556440670043,-3.35126322271951
32,lcvx_N_50_i_12,2314,optimal,0.0,0.0130647369660437,0.0130647369660437,-3.351262506089841
33,lcvx_N_50_i_13,2314,optimal,0.0,0.0122029059566557,0.0122029059566557,-3.351265295330222
34,lcvx_N_50_i_14,2314,optimal,0.0,0.0120289539918303,0.0120289539918303,-3.3512559484011266
35,lcvx_N_50_i_15,2314,optimal,0.0,0.0173206799663603,0.0173206799663603,-3.351261507570029
36,lcvx_N_50_i_16,2314,optimal,0.0,0.0166330540087074,0.0166330540087074,-3.351261337145997
37,lcvx_N_50_i_17,2314,optimal,0.0,0.0129060829058289,0.0129060829058289,-3.351261191908159
38,lcvx_N_50_i_18,2314,optimal,0.0,0.0120940599590539,0.0120940599590539,-3.351265434873948
39,lcvx_N_50_i_19,2314,optimal,0.0,0.0129188720602542,0.0129188720602542,-3.3512584636385
40,lcvx_N_75_i_0,3464,optimal,0.0,0.0176609638147056,0.0176609638147056,-3.3526353421807675
41,lcvx_N_75_i_1,3464,optimal,0.0,0.0178011180832982,0.0178011180832982,-3.3526389794800413
42,lcvx_N_75_i_2,3464,optimal,0.0,0.0271879199426621,0.0271879199426621,-3.352643404836187
43,lcvx_N_75_i_3,3464,optimal,0.0,0.0184349389746785,0.0184349389746785,-3.3526431946977007
44,lcvx_N_75_i_4,3464,optimal,0.0,0.0174858050886541,0.0174858050886541,-3.352639559443069
45,lcvx_N_75_i_5,3464,optimal,0.0,0.0175505490042269,0.0175505490042269,-3.3526384984882567
46,lcvx_N_75_i_6,3464,optimal,0.0,0.0209623561240732,0.0209623561240732,-3.352645161755582
47,lcvx_N_75_i_7,3464,optimal,0.0,0.0240433879662305,0.0240433879662305,-3.352638198733707
48,lcvx_N_75_i_8,3464,optimal,0.0,0.017326122848317,0.017326122848317,-3.3526433081748617
49,lcvx_N_75_i_9,3464,optimal,0.0,0.0163520199712365,0.0163520199712365,-3.352636293601976
50,lcvx_N_75_i_10,3464,optimal,0.0,0.0175214810296893,0.0175214810296893,-3.352637949860305
51,lcvx_N_75_i_11,3464,optimal,0.0,0.0291918560396879,0.0291918560396879,-3.3526433830531297
52,lcvx_N_75_i_12,3464,optimal,0.0,0.0191869139671325,0.0191869139671325,-3.3526398809516174
53,lcvx_N_75_i_13,3464,optimal,0.0,0.0202107911463826,0.0202107911463826,-3.352645119682645
54,lcvx_N_75_i_14,3464,optimal,0.0,0.0175789920613169,0.0175789920613169,-3.352639727893251
55,lcvx_N_75_i_15,3464,optimal,0.0,0.0286582252010703,0.0286582252010703,-3.3526413289619725
56,lcvx_N_75_i_16,3464,optimal,0.0,0.0175486640073359,0.0175486640073359,-3.352642665338397
57,lcvx_N_75_i_17,3464,optimal,0.0,0.0177475048694759,0.0177475048694759,-3.3526358613867453
58,lcvx_N_75_i_18,3464,optimal,0.0,0.0197446139063686,0.0197446139063686,-3.352636046611999
59,lcvx_N_75_i_19,3464,optimal,0.0,0.029972577933222,0.029972577933222,-3.352641104575961
60,lcvx_N_100_i_0,4614,optimal,0.0,0.0251771481707692,0.0251771481707692,-3.3533217673993034
61,lcvx_N_100_i_1,4614,optimal,0.0,0.0306069920770823,0.0306069920770823,-3.353324772110012
62,lcvx_N_100_i_2,4614,optimal,0.0,0.0421671769581735,0.0421671769581735,-3.3533188333778514
63,lcvx_N_100_i_3,4614,optimal,0.0,0.0302652979735285,0.0302652979735285,-3.3533248780996456
64,lcvx_N_100_i_4,4614,optimal,0.0,0.0278615241404622,0.0278615241404622,-3.353326515685128
65,lcvx_N_100_i_5,4614,optimal,0.0,0.0416366050485521,0.0416366050485521,-3.3533204908363445
