tau,clarabel,ecos,gurobi,mosek,qoco
5.011872336272725e-05,0.0,0.0,0.0,0.0,0.0
5.073472437112165e-05,0.0,0.0,0.0,0.0,0.0
5.135829654687394e-05,0.0,0.0,0.0,0.0,0.0
5.198953294596029e-05,0.0,0.0,0.0,0.0,0.0
5.262852776809263e-05,0.0,0.0,0.0,0.0,0.0
5.327537637077606e-05,0.0,0.0,0.0,0.0,0.0
5.393017528353918e-05,0.0,0.0,0.0,0.0,0.0
5.459302222233905e-05,0.0,0.0,0.0,0.0,0.0
5.526401610414388e-05,0.0,0.0,0.0,0.0,0.0
5.594325706169377e-05,0.0,0.0,0.0,0.0,0.0
5.663084645844403e-05,0.0,0.0,0.0,0.0,0.0
5.7326886903691554e-05,0.0,0.0,0.0,0.0,0.0
5.803148226788728e-05,0.0,0.0,0.0,0.0,0.0
5.8744737698136835e-05,0.0,0.0,0.0,0.0,0.0
5.946675963389166e-05,0.0,0.0,0.0,0.0,0.0
6.019765582283304e-05,0.0,0.0,0.0,0.0,0.0
6.0937535336951346e-05,0.0,0.0,0.0,0.0,0.0
6.168650858882288e-05,0.0,0.0,0.0,0.0,0.0
6.24446873480868e-05,0.0,0.0,0.0,0.0,0.0
6.321218475812462e-05,0.0,0.0,0.0,0.0,0.0
6.398911535294439e-05,0.0,0.0,0.0,0.0,0.0
6.477559507427332e-05,0.0,0.0,0.0,0.0,0.0
6.557174128885895e-05,0.0,0.0,0.0,0.0,0.0
6.63776728059844e-05,0.0,0.0,0.0,0.0,0.0
6.719350989519823e-05,0.0,0.0,0.0,0.0,0.0
6.801937430426223e-05,0.0,0.0,0.0,0.0,0.0
6.885538927732003e-05,0.0,0.0,0.0,0.0,0.0
6.970167957328878e-05,0.0,0.0,0.0,0.0,0.0
7.055837148447702e-05,0.0,0.0,0.0,0.0,0.0
7.142559285543133e-05,0.0,0.0,0.0,0.0,0.0
7.230347310201468e-05,0.0,0.0,0.0,0.0,0.0
7.319214323071916e-05,0.0,0.0,0.0,0.0,0.0
7.409173585821599e-05,0.0,0.0,0.0,0.0,0.0
7.500238523114665e-05,0.0,0.0,0.0,0.0,0.0
7.592422724615558e-05,0.0,0.0,0.0,0.0,0.0
7.685739947017075e-05,0.0,0.0,0.0,0.0,0.0
7.780204116093269e-05,0.0,0.0,0.0,0.0,0.0
7.875829328777596e-05,0.0,0.0,0.0,0.0,0.0
7.972629855266608e-05,0.0,0.0,0.0,0.0,0.0
8.070620141149508e-05,0.0,0.0,0.0,0.0,0.0
8.169814809563857e-05,0.0,0.0,0.0,0.0,0.0
8.270228663377811e-05,0.0,0.0,0.0,0.0,0.0
8.371876687399142e-05,0.0,0.0,0.0,0.0,0.0
8.474774050611446e-05,0.0,0.0,0.0,0.0,0.0
8.578936108437798e-05,0.0,0.0,0.0,0.0,0.0
8.684378405032249e-05,0.0,0.0,0.0,0.0,0.0
8.791116675599548e-05,0.0,0.0,0.0,0.0,0.0
8.899166848743213e-05,0.0,0.0,0.0,0.0,0.0
9.008545048842634e-05,0.0,0.0,0.0,0.0,0.0
9.119267598459299e-05,0.0,0.0,0.0,0.0,0.0
9.231351020772624e-05,0.0,0.0,0.0,0.0,0.0
9.344812042045717e-05,0.0,0.0,0.0,0.0,0.0
9.459667594121436e-05,0.0,0.0,0.0,0.0,0.0
9.575934816949148e-05,0.0,0.0,0.0,0.0,0.0
9.693631061142522e-05,0.0,0.0,0.0,0.0,0.0
9.812773890568778e-05,0.0,0.0,0.0,0.0,0.0
9.933381084969742e-05,0.0,0.0,0.0,0.0,0.0
0.00010055470642615126,0.0,0.0,0.0,0.0,0.0
0.00010179060782988449,0.0,0.0,0.0,0.0,0.0
0.00010304169949505886,0.0,0.0,0.0,0.0,0.0
0.00010430816812268623,0.0,0.0,0.0,0.0,0.0
0.00010559020270848988,0.0,0.0,0.0,0.0,0.0
0.00010688799457110886,0.0,0.0,0.0,0.0,0.0
0.00010820173738064788,0.0,0.0,0.0,0.0,0.0
0.00010953162718757928,0.0,0.0,0.0,0.0,0.0
0.00011087786245199956,0.0,0.0,0.0,0.0,0.0
0.00011224064407324577,0.0,0.0,0.0,0.0,0.0
0.0001136201754198757,0.0,0.0,0.0,0.0,0.0
0.00011501666236001667,0.0,0.0,0.0,0.0,0.0
0.00011643031329208767,0.0,0.0,0.0,0.0,0.0
0.00011786133917589821,0.0,0.0,0.0,0.0,0.0
0.00011930995356413024,0.0,0.0,0.0,0.0,0.0
0.00012077637263420677,0.0,0.0,0.0,0.0,0.0
0.00012226081522055202,0.0,0.0,0.0,0.0,0.0
0.00012376350284724815,0.0,0.0,0.0,0.0,0.0
0.00012528465976109374,0.0,0.0,0.0,0.0,0.0
0.00012682451296506777,0.0,0.0,0.0,0.0,0.0
0.00012838329225220562,0.0,0.0,0.0,0.0,0.0
0.0001299612302398912,0.0,0.0,0.0,0.0,0.0
0.00013155856240457052,0.0,0.0,0.0,0.0,0.0
0.00013317552711689202,0.0,0.0,0.0,0.0,0.0
0.0001348123656772785,0.0,0.0,0.0,0.0,0.0
0.0001364693223519371,0.0,0.0,0.0,0.0,0.0
0.0001381466444093104,0.0,0.0,0.0,0.0,0.0
0.00013984458215697708,0.0,0.0,0.0,0.0,0.0
0.0001415633889790051,0.0,0.0,0.0,0.0,0.0
0.0001433033213737644,0.0,0.0,0.0,0.0,0.0
0.0001450646389922047,0.0,0.0,0.0,0.0,0.0
0.00014684760467660246,0.0,0.0,0.0,0.0,0.0
0.0001486524844997857,0.0,0.0,0.0,0.0,0.0
0.0001504795478048399,0.0,0.0,0.0,0.0,0.0
0.00015232906724530217,0.0,0.0,0.0,0.0,0.0
0.0001542013188258496,0.0,0.0,0.0,0.0,0.0
0.00015609658194348742,0.0,0.0,0.0,0.0,0.0
0.0001580151394292435,0.0,0.0,0.0,0.0,0.0
0.00015995727759037602,0.0,0.0,0.0,0.0,0.0
0.00016192328625309812,0.0,0.0,0.0,0.0,0.0
0.00016391345880582963,0.0,0.0,0.0,0.0,0.0
0.00016592809224297931,0.0,0.0,0.0,0.0,0.0
0.00016796748720926532,0.0,0.0,0.0,0.0,0.0
0.0001700319480445812,0.0,0.0,0.0,0.0,0.0
0.00017212178282941174,0.0,0.0,0.0,0.0,0.0
0.0001742373034308086,0.0,0.0,0.0,0.0,0.0
0.00017637882554893023,0.0,0.0,0.0,0.0,0.0
0.0001785466687641539,0.0,0.0,0.0,0.0,0.0
0.00018074115658476696,0.0,0.0,0.0,0.0,0.0
0.000182962616495244,0.0,0.0,0.0,0.0,0.0
0.00018521138000511734,0.0,0.0,0.0,0.0,0.0
0.00018748778269844928,0.0,0.0,0.0,0.0,0.0
0.00018979216428391014,0.0,0.0,0.0,0.0,0.0
0.00019212486864547397,0.0,0.0,0.0,0.0,0.0
0.00019448624389373635,0.0,0.0,0.0,0.0,0.0
0.00019687664241786293,0.0,0.0,0.0,0.0,0.0
0.00019929642093817734,0.0,0.0,0.0,0.0,0.0
0.00020174594055939364,0.0,0.0,0.0,0.0,0.0
0.00020422556682450489,0.0,0.0,0.0,0.0,0.0
0.0002067356697693331,0.0,0.0,0.0,0.0,0.0
0.00020927662397774994,0.0,0.0,0.0,0.0,0.0
0.00021184880863757595,0.0,0.0,0.0,0.0,0.0
0.00021445260759716698,0.0,0.0,0.0,0.0,0.0
0.00021708840942269583,0.0,0.0,0.0,0.0,0.0
0.00021975660745613912,0.0,0.0,0.0,0.0,0.0
0.00022245759987397448,0.0,0.0,0.0,0.0,0.0
0.00022519178974660155,0.0,0.0,0.0,0.0,0.0
0.0002279595850984919,0.0,0.0,0.0,0.0,0.0
0.00023076139896907968,0.0,0.0,0.0,0.0,0.0
0.00023359764947439822,0.0,0.0,0.0,0.0,0.0
0.00023646875986947676,0.0,0.0,0.0,0.0,0.0
0.00023937515861150257,0.0,0.0,0.0,0.0,0.0
0.00024231727942376007,0.0,0.0,0.0,0.0,0.0
0.0002452955613603553,0.0,0.0,0.0,0.0,0.0
0.0002483104488717364,0.0,0.0,0.0,0.0,0.0
0.00025136239187101896,0.0,0.0,0.0,0.0,0.0
0.0002544518458011268,0.0,0.0,0.0,0.0,0.0
0.00025757927170275857,0.0,0.0,0.0,0.0,0.0
0.00026074513628318786,0.0,0.0,0.0,0.0,0.0
0.0002639499119859112,0.0,0.0,0.0,0.0,0.0
0.0002671940770611501,0.0,0.0,0.0,0.0,0.0
0.0002704781156372222,0.0,0.0,0.0,0.0,0.0
0.00027380251779278577,0.0,0.0,0.0,0.0,0.0
0.000277167779629976,0.0,0.0,0.0,0.0,0.0
0.00028057440334843805,0.0,0.0,0.0,0.0,0.0
0.0002840228973202703,0.0,0.0,0.0,0.0,0.0
0.0002875137761658895,0.0,0.0,0.0,0.0,0.002
0.0002910475608308274,0.0,0.0,0.0,0.0,0.009
0.00029462477866347154,0.0,0.0,0.0,0.0,0.011
0.0002982459634937629,0.0,0.0,0.0,0.0,0.012
0.00030191165571285774,0.0,0.0,0.0,0.0,0.013
0.00030562240235377185,0.0,0.0,0.0,0.0,0.014
0.000309378757173014,0.0,0.0,0.0,0.0,0.014
0.00031318128073322296,0.0,0.0,0.0,0.0,0.014
0.0003170305404868221,0.0,0.0,0.0,0.0,0.014
0.00032092711086069843,0.0,0.0,0.0,0.0,0.014
0.0003248715733419258,0.0,0.0,0.0,0.0,0.014
0.0003288645165645405,0.0,0.0,0.0,0.0,0.014
0.00033290653639738305,0.0,0.0,0.0,0.0,0.014
0.0003369982360330203,0.0,0.0,0.0,0.0,0.014
0.00034114022607775995,0.0,0.0,0.0,0.0,0.014
0.0003453331246427712,0.0,0.0,0.0,0.0,0.014
0.0003495775574363275,0.0,0.0,0.0,0.0,0.014
0.00035387415785717894,0.0,0.0,0.0,0.0,0.014
0.000358223567089076,0.0,0.0,0.0,0.0,0.015
0.00036262643419645365,0.0,0.0,0.0,0.0,0.017
0.0003670834162212908,0.0,0.0,0.0,0.0,0.018
0.0003715951782811629,0.002,0.0,0.0,0.0,0.019
0.0003761623936684951,0.005,0.0,0.0,0.0,0.019
0.0003807857439510398,0.009,0.0,0.0,0.0,0.019
0.0003854659190735868,0.01,0.0,0.0,0.0,0.019
0.00039020361746092423,0.011,0.0,0.0,0.0,0.019
0.0003949995461220647,0.011,0.0,0.0,0.0,0.019
0.00039985442075575256,0.011,0.0,0.0,0.0,0.019
0.00040476896585726766,0.011,0.0,0.0,0.0,0.02
0.0004097439148265438,0.011,0.0,0.0,0.0,0.021
0.00041478001007761177,0.012,0.0,0.0,0.0,0.021
0.0004198780031493919,0.012,0.0,0.0,0.0,0.023
0.0004250386548178461,0.012,0.0,0.0,0.0,0.024
0.0004302627352095084,0.013,0.0,0.0,0.0,0.025
0.00043555102391641307,0.014,0.0,0.0,0.0,0.026
0.0004409043101124309,0.014,0.0,0.0,0.0,0.029
0.0004463233926710397,0.015,0.0,0.0,0.0,0.029
0.00045180908028454026,0.015,0.0,0.0,0.0,0.031
0.00045736219158473755,0.015,0.0,0.0,0.0,0.031
0.00046298355526510607,0.015,0.0,0.0,0.0,0.034
0.0004686740102044557,0.015,0.0,0.0,0.0,0.034
0.0004744344055921178,0.015,0.0,0.0,0.0,0.035
0.00048026560105467203,0.015,0.0,0.0,0.0,0.035
0.0004861684667842256,0.015,0.0,0.0,0.0,0.035
0.0004921438836682751,0.015,0.0,0.0,0.0,0.036
0.0004981927434211599,0.016,0.0,0.0,0.0,0.038
0.0005043159487171359,0.016,0.0,0.0,0.0,0.042
0.0005105144133250786,0.018,0.0,0.0,0.0,0.044
0.0005167890622448473,0.021,0.0,0.0,0.0,0.046
0.000523140831845323,0.023,0.0,0.0,0.0,0.048
0.0005295706700041429,0.023,0.0,0.0,0.0,0.048
0.000536079536249153,0.023,0.0,0.0,0.0,0.048
0.0005426684019015983,0.023,0.0,0.0,0.0,0.048
0.0005493382502210741,0.027,0.0,0.0,0.0,0.049
0.0005560900765522578,0.027,0.0,0.0,0.0,0.05
0.0005629248884734461,0.027,0.0,0.0,0.0,0.051
0.0005698437059469142,0.029,0.0,0.0,0.0,0.051
0.0005768475614711264,0.029,0.0,0.0,0.0,0.051
