,size,status,setup_time,solve_time,run_time,obj,iters
forcesExample_3,189,optimal,,2.698e-05,2.698e-05,93.90444940335185,9
spacecraft_1,1137,optimal,,0.000179111,0.000179111,66.06156468239128,9
dcMotor_4,5514,optimal,,0.000842054,0.000842054,361813.8797162013,8
pendulum_3,155,optimal,,1.318e-05,1.318e-05,19.135074866748813,5
forcesExample_2,170,optimal,,2.036e-05,2.036e-05,44.39554098730941,7
binaryDistillationColumn_2,2936,optimal,,0.000428612,0.000428612,967.0133033375326,9
quadcopter_2,3172,optimal,,0.000503182,0.000503182,28.049843752255228,7
pendulum_1,435,optimal,,4.259e-05,4.259e-05,35.997590292664334,6
shell_3,739,optimal,,0.000177611,0.000177611,36.1925187379321,10
fiordosExample_3,119,optimal,,1.84e-05,1.84e-05,22627.38066898506,10
fiordosExample_1,119,optimal,,1.61e-05,1.61e-05,39.56315343514793,8
aircraft_11,636,optimal,,0.000106,0.000106,68733.42973613468,11
tripleInvertedPendulum_3,2919,optimal,,0.000382412,0.000382412,835.8364735376465,8
robotArm_1,276,optimal,,2.2481e-05,2.2481e-05,136453.75970461924,5
aircraft_12,636,optimal,,0.0001059,0.0001059,68733.42973613468,11
quadcopter_5,3072,failed,,,,,
dcMotor_2,1114,optimal,,0.000154091,0.000154091,34354.90098729258,8
springMass_1,21239,optimal,,0.004555463,0.004555463,9199.758417484807,10
aircraft_10,584,optimal,,8.349e-05,8.349e-05,6767.286461604484,8
doubleInvertedPendulum_1,502,optimal,,4.253e-05,4.253e-05,370.4808775153398,5
springMass_3,2144,optimal,,0.000187601,0.000187601,1767.1932056620374,5
robotArm_2,1056,optimal,,0.000184911,0.000184911,449918.5878964849,10
ballOnPlate_1,398,optimal,,5.12e-05,5.12e-05,3.3780925426174098,7
aircraft_13,3116,optimal,,0.000745775,0.000745775,101232.75042760557,14
aircraft_3,464,optimal,,5.252e-05,5.252e-05,4420.848558305317,7
nonlinearCstr_2,1164,optimal,,0.000161511,0.000161511,2493.0405319080783,9
quadcopter_6,1678,optimal,,0.000242162,0.000242162,212.32053130901105,7
quadcopter_3,7912,optimal,,0.001412378,0.001412378,28.052313654870133,7
aircraft_4,504,optimal,,7.0831e-05,7.0831e-05,6767.286461604488,8
toyExample_1,199,optimal,,2.022e-05,2.022e-05,2950.0758274164887,6
shell_1,739,optimal,,0.000114531,0.000114531,32.0526589827992,6
helicopter_2,1051,optimal,,0.000116391,0.000116391,3903.777642654879,6
aircraft_2,524,optimal,,7.05e-05,7.05e-05,6773.790524724389,8
ballOnPlate_2,398,optimal,,5.501e-05,5.501e-05,3.9544210022597253,7
tripleInvertedPendulum_2,2919,optimal,,0.000334602,0.000334602,835.3698837482333,7
forcesExample_1,171,optimal,,2.031e-05,2.031e-05,44.39323392300793,7
fiordosExample_2,139,optimal,,2.003e-05,2.003e-05,41.68863027535442,7
dcMotor_6,1114,optimal,,0.00011897,0.00011897,10954.018880228603,6
binaryDistillationColumn_1,2936,optimal,,0.000431482,0.000431482,967.0133033375326,9
dcMotor_1,564,optimal,,6.757e-05,6.757e-05,34587.53917740227,7
ballOnPlate_4,658,optimal,,0.000101761,0.000101761,56.190409099728406,8
doubleInvertedPendulum_3,542,optimal,,4.737e-05,4.737e-05,370.48087775637384,5
quadcopter_1,1592,optimal,,0.000234401,0.000234401,28.011081047874296,7
dcMotor_5,1114,optimal,,0.000153721,0.000153721,5505.689794596767,8
shell_2,1469,optimal,,0.000269592,0.000269592,32.054313250924835,7
dcMotor_3,5514,optimal,,0.000873774,0.000873774,65649.88523993295,8
helicopter_3,536,optimal,,4.0591e-05,4.0591e-05,4132.033423690094,5
quadcopter_4,3172,optimal,,0.000694104,0.000694104,21.146832789886076,10
doubleInvertedPendulum_2,502,optimal,,6.2011e-05,6.2011e-05,175.31638775254447,8
tripleInvertedPendulum_1,2739,optimal,,0.000291901,0.000291901,835.3698016536466,7
springMass_2,2159,optimal,,0.000222452,0.000222452,2083.878903942661,6
toyExample_5,1909,optimal,,0.000286171,0.000286171,855791.2988228484,9
toyExample_3,199,optimal,,2.031e-05,2.031e-05,831801.4859018797,6
helicopter_1,201,optimal,,1.45e-05,1.45e-05,3758.1994831917937,4
spacecraft_2,1137,optimal,,0.000174481,0.000174481,66.06156468239128,9
forcesExample_4,369,optimal,,4.438e-05,4.438e-05,44.3932339240449,7
toyExample_2,389,optimal,,3.957e-05,3.957e-05,2950.0758445494175,6
ballOnPlate_3,398,optimal,,5.427e-05,5.427e-05,46.01310686460075,7
toyExample_4,959,optimal,,0.00014394,0.00014394,855791.2988210984,9
nonlinearCstr_3,294,optimal,,3.117e-05,3.117e-05,2191.1132863675875,7
nonlinearCstr_1,1164,optimal,,0.000161471,0.000161471,2493.0405319080783,9
springMass_4,4279,optimal,,0.000548943,0.000548943,2086.362582205527,7
aircraft_1,504,optimal,,7.5131e-05,7.5131e-05,6767.286461604488,8
pendulum_2,432,optimal,,5.201e-05,5.201e-05,50.65227738315054,8
