tau,clarabel,ecos,gurobi,mosek,qoco,qoco_custom
1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0046204213468128,0.0,0.0,0.0,0.0,0.0,1.0
1.0092621909870476,0.0,0.0,0.0,0.0,0.0,1.0
1.013925407558815,0.0,0.0,0.0,0.0,0.0,1.0
1.0186101701559758,0.0,0.0,0.0,0.0,0.0,1.0
1.023316578330245,0.0,0.0,0.0,0.0,0.0,1.0
1.0280447320933093,0.0,0.0,0.0,0.0,0.0,1.0
1.0327947319189517,0.0,0.0,0.0,0.0,0.0,1.0
1.0375666787451858,0.0,0.0,0.0,0.0,0.0,1.0
1.0423606739764015,0.0,0.0,0.0,0.0,0.0,1.0
1.0471768194855202,0.0,0.0,0.0,0.0,0.0,1.0
1.0520152176161586,0.0,0.0,0.0,0.0,0.0,1.0
1.0568759711848041,0.0,0.0,0.0,0.0,0.0,1.0
1.0617591834829998,0.0,0.0,0.0,0.0,0.0,1.0
1.0666649582795393,0.0,0.0,0.0,0.0,0.0,1.0
1.0715933998226712,0.0,0.0,0.0,0.0,0.0,1.0
1.0765446128423155,0.0,0.0,0.0,0.0,0.0,1.0
1.0815187025522883,0.0,0.0,0.0,0.0,0.0,1.0
1.0865157746525382,0.0,0.0,0.0,0.0,0.0,1.0
1.0915359353313916,0.0,0.0,0.0,0.0,0.0,1.0
1.0965792912678098,0.0,0.0,0.0,0.0,0.0,1.0
1.1016459496336566,0.0,0.0,0.0,0.0,0.0,1.0
1.1067360180959736,0.0,0.0,0.0,0.0,0.0,1.0
1.1118496048192708,0.0,0.0,0.0,0.0,0.0,1.0
1.116986818467823,0.0,0.0,0.0,0.0,0.0,1.0
1.1221477682079803,0.0,0.0,0.0,0.0,0.0,1.0
1.1273325637104867,0.0,0.0,0.0,0.0,0.0,1.0
1.1325413151528119,0.0,0.0,0.0,0.0,0.0,1.0
1.1377741332214912,0.0,0.0,0.0,0.0,0.0,1.0
1.1430311291144792,0.0,0.0,0.0,0.0,0.002,1.0
1.148312414543511,0.0,0.0,0.0,0.0,0.002,1.0
1.1536181017364782,0.0,0.0,0.0,0.0,0.002,1.0
1.158948303439811,0.0,0.0,0.0,0.0,0.002,1.0
1.1643031329208766,0.0,0.0,0.0,0.0,0.002,1.0
1.1696827039703852,0.0,0.0,0.0,0.0,0.002,1.0
1.1750871309048077,0.0,0.0,0.0,0.0,0.002,1.0
1.180516528568805,0.0,0.0,0.0,0.0,0.002,1.0
1.1859710123376697,0.0,0.0,0.0,0.0,0.002,1.0
1.1914506981197759,0.0,0.0,0.0,0.0,0.002,1.0
1.1969557023590434,0.0,0.0,0.0,0.0,0.002,1.0
1.2024861420374122,0.0,0.0,0.0,0.0,0.002,1.0
1.2080421346773285,0.0,0.0,0.0,0.0,0.002,1.0
1.2136237983442408,0.0,0.0,0.0,0.0,0.002,1.0
1.2192312516491106,0.0,0.0,0.0,0.0,0.002,1.0
1.2248646137509314,0.0,0.0,0.0,0.0,0.002,1.0
1.2305240043592616,0.0,0.0,0.0,0.0,0.002,1.0
1.2362095437367686,0.0,0.0,0.0,0.0,0.002,1.0
1.2419213527017836,0.0,0.0,0.0,0.0,0.002,1.0
1.2476595526308696,0.0,0.0,0.0,0.0,0.002,1.0
1.2534242654614,0.0,0.0,0.0,0.0,0.004,1.0
1.259215613694151,0.0,0.0,0.0,0.0,0.004,1.0
1.2650337203959034,0.0,0.0,0.0,0.0,0.004,1.0
